时间		开盘		最高		最低		收盘		涨跌		涨幅%		振幅%		总手(万)		金额(亿)		
2016-05-19,四	2802.31		2829.40		2801.55		2806.91		-0.61		-0.02		0.992		11159507100	124151052000	
2016-05-20,五	2792.89		2825.95		2785.08		2825.48		+18.58		0.66		1.46		10870089900	123794592000	
2016-05-23,一	2826.31		2848.07		2826.26		2843.65		+18.16		0.64		0.772		12047045500	139950360000	
2016-05-24,二	2839.68		2839.70		2807.19		2821.67		-21.98		-0.77		1.14		11145244500	121096058000	
2016-05-25,三	2835.03		2843.17		2807.75		2815.09		-6.58		-0.23		1.26		10352726500	117767628000	
2016-05-26,四	2813.54		2827.09		2780.76		2822.44		+7.36		0.26		1.65		11476679700	127105183000	
2016-05-27,五	2817.97		2832.80		2809.80		2821.05		-1.40		-0.05		0.815		10984582300	123858864000	
2016-05-30,一	2814.65		2830.97		2794.66		2822.45		+1.40		0.05		1.29		10631958900	115587479000	
2016-05-31,二	2822.59		2917.14		2822.59		2916.62		+94.17		3.34		3.35		21526034000	236528500000	
2016-06-01,三	2917.15		2929.08		2909.51		2913.51		-3.11		-0.11		0.671		18838642000	219868040000	
2016-06-02,四	2911.22		2925.67		2906.52		2925.23		+11.72		0.40		0.657		15971691000	185084890000	
2016-06-03,五	2929.79		2945.52		2915.19		2938.68		+13.45		0.46		1.04		17202102000	211302470000	
2016-06-06,一	2940.99		2945.94		2922.28		2934.10		-4.59		-0.16		0.805		14199374000	172426790000	
2016-06-07,二	2936.28		2938.44		2923.50		2936.04		+1.95		0.07		0.509		13298786700	163605600000	
2016-06-08,三	2932.38		2937.99		2908.37		2927.16		-8.89		-0.30		1.01		14304607000	177377300000	
2016-06-13,一	2897.27		2911.16		2832.51		2833.07		-94.09		-3.21		2.69		16925543000	198547760000	
2016-06-14,二	2824.23		2843.46		2822.06		2842.19		+9.12		0.32		0.755		11975527400	138531750000	
2016-06-15,三	2814.69		2894.26		2811.78		2887.21		+45.02		1.58		2.90		16667106000	197199330000	
2016-06-16,四	2878.40		2887.74		2865.39		2872.82		-14.39		-0.50		0.774		17388276000	201957150000	
2016-06-17,五	2873.01		2900.30		2872.18		2885.11		+12.29		0.43		0.979		17147251000	195432490000	
2016-06-20,一	2887.64		2891.66		2864.02		2888.81		+3.70		0.13		0.958		13657105000	163734430000	
2016-06-21,二	2898.38		2919.30		2869.18		2878.56		-10.25		-0.35		1.74		16435908000	198201920000	
2016-06-22,三	2872.73		2905.98		2869.51		2905.55		+26.99		0.94		1.27		13059042400	156339380000	
2016-06-23,四	2902.40		2904.11		2878.66		2891.96		-13.59		-0.47		0.876		13613738000	163680270000	
2016-06-24,五	2883.76		2899.57		2807.60		2854.29		-37.67		-1.30		3.18		19084261000	214913450000	
2016-06-27,一	2840.56		2895.73		2840.28		2895.70		+41.42		1.45		1.94		15669747000	189854730000	
2016-06-28,二	2885.01		2913.58		2878.82		2912.56		+16.85		0.58		1.20		17387105000	211079310000	
2016-06-29,三	2918.53		2934.00		2915.06		2931.59		+19.04		0.65		0.650		19321559000	223406350000	
2016-06-30,四	2931.48		2938.14		2922.31		2929.61		-1.99		-0.07		0.540		15446493000	187459800000	
2016-07-01,五	2931.80		2944.99		2925.81		2932.48		+2.87		0.10		0.655		14124623000	173006180000	
2016-07-04,一	2924.29		2992.50		2922.52		2988.60		+56.13		1.91		2.39		22201713000	253150370000	
2016-07-05,二	2991.75		3010.28		2990.64		3006.39		+17.79		0.60		0.657		23520445000	270418010000	
2016-07-06,三	2998.52		3017.65		2984.83		3017.29		+10.90		0.36		1.09		21237092000	246497840000	
2016-07-07,四	3009.35		3024.11		2994.64		3016.85		-0.45		-0.01		0.977		22268167000	270197130000	
2016-07-08,五	3000.33		3001.55		2983.88		2988.09		-28.75		-0.95		0.586		16898686000	209672670000	
2016-07-11,一	2993.75		3022.94		2990.91		2994.92		+6.82		0.23		1.07		22433822000	271916500000	
2016-07-12,二	2992.52		3049.68		2984.42		3049.38		+54.46		1.82		2.18		25948630000	288656740000	
2016-07-13,三	3049.51		3069.05		3048.20		3060.69		+11.31		0.37		0.684		25365938000	279350870000	
2016-07-14,四	3054.98		3057.05		3036.52		3054.02		-6.67		-0.22		0.671		18019480000	208939030000	
2016-07-15,五	3056.68		3062.68		3044.54		3054.30		+0.28		0.01		0.594		17286640000	202840550000	
2016-07-18,一	3047.64		3058.32		3031.64		3043.56		-10.73		-0.35		0.874		17749656000	206667710000	
2016-07-19,二	3040.23		3043.60		3014.29		3036.60		-6.97		-0.23		0.963		15536147000	187206720000	
2016-07-20,三	3034.71		3043.00		3022.63		3027.90		-8.70		-0.29		0.671		13824282000	171472920000	
2016-07-21,四	3027.60		3053.33		3027.37		3039.01		+11.11		0.37		0.858		16376737000	200278460000	
2016-07-22,五	3038.12		3039.27		3007.46		3012.82		-26.19		-0.86		1.05		16201018000	197517350000	
2016-07-25,一	3008.09		3027.12		3003.29		3015.83		+3.01		0.10		0.791		14420658000	175422000000	
2016-07-26,二	3014.04		3050.62		3013.80		3050.17		+34.34		1.14		1.22		15669451000	185474470000	
2016-07-27,三	3050.37		3057.42		2939.23		2992.00		-58.17		-1.91		3.88		28016092000	316811390000	
2016-07-28,四	2980.50		3003.36		2968.18		2994.32		+2.32		0.08		1.18		19056495000	217627000000	
2016-07-29,五	2992.54		3000.06		2972.92		2979.34		-14.98		-0.50		0.906		15010153000	170198570000	
2016-08-01,一	2971.95		2972.88		2931.96		2953.39		-25.95		-0.87		1.37		14740776000	162372670000	
2016-08-02,二	2950.08		2971.28		2946.64		2971.28		+17.89		0.61		0.834		11546890000	129266873000	
2016-08-03,三	2963.22		2981.16		2956.79		2978.46		+7.18		0.24		0.820		14114133000	159088260000	
2016-08-04,四	2976.41		2982.86		2958.93		2982.43		+3.97		0.13		0.803		13393330100	153307960000	
2016-08-05,五	2978.78		2991.68		2971.56		2976.70		-5.73		-0.19		0.674		14185710000	161795980000	
2016-08-08,一	2972.63		3004.72		2959.05		3004.28		+27.58		0.93		1.53		15572983000	172089650000	
2016-08-09,二	3001.31		3025.91		2998.68		3025.68		+21.40		0.71		0.907		16999545000	187716870000	
2016-08-10,三	3023.47		3033.20		3017.09		3018.75		-6.94		-0.23		0.532		16467517000	184525180000	
2016-08-11,四	3013.68		3038.05		3001.17		3002.64		-16.11		-0.53		1.22		16187948000	179861530000	
2016-08-12,五	3000.27		3051.05		2999.04		3050.67		+48.03		1.60		1.73		16817366000	179304890000	
2016-08-15,一	3056.48		3137.48		3053.87		3125.20		+74.53		2.44		2.74		29761651000	327991130000	
2016-08-16,二	3130.53		3140.44		3102.07		3110.04		-15.16		-0.49		1.23		27832893000	308544860000	
2016-08-17,三	3106.99		3114.26		3090.28		3109.56		-0.48		-0.02		0.771		21383964000	243405250000	
2016-08-18,四	3107.75		3125.58		3093.32		3104.11		-5.44		-0.17		1.04		22935908000	256969680000	
2016-08-19,五	3100.39		3113.34		3082.77		3108.10		+3.99		0.13		0.985		19434745000	212050970000	
2016-08-22,一	3107.38		3112.74		3083.59		3084.81		-23.30		-0.75		0.938		18538793000	207638870000	
2016-08-23,二	3081.57		3101.11		3073.53		3089.71		+4.90		0.16		0.894		16136897000	179183490000	
2016-08-24,三	3092.02		3097.15		3079.55		3085.88		-3.83		-0.12		0.570		14570744000	168362530000	
2016-08-25,四	3073.44		3073.44		3041.51		3068.33		-17.55		-0.57		1.04		17403298000	200859750000	
2016-08-26,五	3069.85		3087.65		3063.89		3070.31		+1.98		0.06		0.774		14966390000	176309500000	
2016-08-29,一	3068.46		3074.94		3058.79		3070.03		-0.28		-0.01		0.526		14450001000	166397350000	
2016-08-30,二	3071.44		3082.99		3065.97		3074.68		+4.65		0.15		0.554		14043481000	163878820000	
2016-08-31,三	3072.92		3087.70		3063.40		3085.49		+10.81		0.35		0.790		14136861000	168986120000	
2016-09-01,四	3083.96		3088.70		3062.88		3063.31		-22.19		-0.72		0.837		15519109000	177093300000	
2016-09-02,五	3057.50		3072.53		3050.49		3067.35		+4.05		0.13		0.719		15044692000	170592140000	
2016-09-05,一	3070.71		3085.49		3065.33		3072.10		+4.74		0.15		0.657		14496332000	161243680000	
2016-09-06,二	3071.06		3095.51		3053.19		3090.71		+18.62		0.61		1.38		17290852000	193057730000	
2016-09-07,三	3091.33		3105.68		3087.88		3091.93		+1.22		0.04		0.576		18695676000	207162120000	
2016-09-08,四	3089.95		3096.78		3083.90		3095.95		+4.03		0.13		0.417		14588377000	165944470000	
2016-09-09,五	3095.43		3101.79		3078.22		3078.86		-17.10		-0.55		0.761		16069292000	182056230000	
2016-09-12,一	3037.51		3040.95		2999.93		3021.98		-56.88		-1.85		1.33		20601209000	221846570000	
2016-09-13,二	3025.04		3029.72		3008.74		3023.51		+1.53		0.05		0.694		13538758000	152791310000	
2016-09-14,三	3008.90		3017.95		2995.42		3002.85		-20.66		-0.68		0.745		13341340100	148148970000	
