时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2016-05-16,一	9.15		9.24		9.15		9.20		+0.11%		0.98%		33,077,545	303,958,060	0.112		1988		
2016-05-17,二	9.20		9.20		9.07		9.08		-1.30%		1.41%		56,884,363	517,681,180	0.192		2382		
2016-05-18,三	9.08		9.17		9.02		9.13		+0.55%		1.65%		138,645,360	1,257,228,140	0.469		2138		
2016-05-19,四	9.10		9.11		8.99		9.00		-1.42%		1.31%		57,010,744	516,598,540	0.193		2262		
2016-05-20,五	8.98		9.04		8.98		9.00		+0.00%		0.67%		157,346,350	1,416,296,600	0.532		1981		
2016-05-23,一	9.00		9.03		8.86		8.87		-1.44%		1.89%		128,147,729	1,144,884,240	0.434		2443		
2016-05-24,二	8.88		8.88		8.66		8.68		-2.14%		2.48%		217,477,170	1,897,145,500	0.736		2688		
2016-05-25,三	8.75		8.87		8.69		8.86		+2.07%		2.07%		74,010,107	651,147,900	0.250		2669		
2016-05-26,四	8.82		8.90		8.81		8.90		+0.45%		1.02%		60,354,785	535,720,670	0.204		2619		
2016-05-27,五	8.85		8.94		8.83		8.91		+0.11%		1.24%		72,153,268	641,621,330	0.244		2231		
2016-05-30,一	8.91		8.96		8.83		8.95		+0.45%		1.46%		125,372,463	1,120,553,440	0.424		2319		
2016-05-31,二	8.96		9.15		8.96		9.09		+1.56%		2.12%		141,216,150	1,282,544,030	0.478		2675		
2016-06-01,三	9.12		9.12		8.97		8.98		-1.21%		1.65%		107,149,201	965,827,220	0.363		2640		
2016-06-02,四	8.98		9.01		8.92		8.97		-0.11%		1.00%		50,064,989	448,230,870	0.169		2530		
2016-06-03,五	9.03		9.03		8.91		8.99		+0.22%		1.34%		62,866,686	562,930,860	0.213		2503		
2016-06-06,一	8.98		9.01		8.93		9.01		+0.22%		0.89%		52,606,789	472,082,690	0.178		2549		
2016-06-07,二	9.03		9.04		8.98		9.00		-0.11%		0.67%		48,827,367	440,026,540	0.165		2341		
2016-06-08,三	9.00		9.04		8.98		9.00		+0.00%		0.67%		95,472,445	859,841,670	0.323		2490		
2016-06-13,一	8.94		9.02		8.93		8.95		-0.56%		1.00%		85,482,976	767,476,170	0.289		2491		
2016-06-14,二	8.95		9.12		8.91		9.03		+0.89%		2.35%		83,740,130	756,754,100	0.283		2413		
2016-06-15,三	8.93		9.06		8.92		9.05		+0.22%		1.55%		79,216,571	713,886,190	0.268		2457		
2016-06-16,四	8.98		9.11		8.97		9.02		-0.33%		1.55%		56,190,499	508,928,040	0.190		2212		
2016-06-17,五	9.01		9.12		9.01		9.08		+0.67%		1.22%		57,320,529	520,135,960	0.194		2567		
2016-06-20,一	9.11		9.15		8.99		9.05		-0.33%		1.76%		27,967,649	252,641,610	0.095		1936		
2016-06-21,二	9.04		9.10		9.02		9.08		+0.33%		0.88%		42,522,729	385,440,050	0.144		2173		
2016-06-22,三	9.07		9.09		9.03		9.08		+0.00%		0.66%		30,033,597	272,366,850	0.102		1744		
2016-06-23,四	9.10		9.10		9.03		9.09		+0.11%		0.77%		39,983,069	363,168,120	0.135		1921		
2016-06-24,五	8.98		9.03		8.79		8.84		-2.75%		2.64%		56,784,109	504,468,190	0.192		2081		
2016-06-27,一	8.84		8.92		8.82		8.87		+0.34%		1.13%		61,454,882	544,070,300	0.208		2305		
2016-06-28,二	8.86		8.87		8.82		8.84		-0.34%		0.56%		45,865,553	405,380,760	0.155		1991		
2016-06-29,三	8.86		9.15		8.81		9.14		+3.39%		3.85%		174,671,350	1,570,743,400	0.591		2395		
2016-06-30,四	9.06		9.10		8.88		8.93		-2.30%		2.41%		85,664,445	768,581,220	0.290		2453		
2016-07-01,五	8.94		8.99		8.90		8.93		+0.00%		1.01%		38,634,089	345,519,880	0.131		1999		
2016-07-04,一	8.92		9.08		8.92		9.02		+1.01%		1.79%		67,891,487	612,648,070	0.230		2272		
2016-07-05,二	8.98		9.02		8.92		8.97		-0.55%		1.11%		59,139,024	530,861,420	0.200		2005		
2016-07-06,三	8.93		8.96		8.90		8.93		-0.45%		0.67%		51,861,695	462,836,310	0.175		2214		
2016-07-07,四	8.93		8.98		8.89		8.96		+0.34%		1.01%		56,848,541	508,193,440	0.192		2137		
2016-07-08,五	8.95		8.97		8.93		8.93		-0.33%		0.45%		42,253,384	378,027,530	0.143		1425		
